source_file,block_index,block_start_line,token_index,candidate_class,visibility_policy,safe_to_hide,risk_note,reason,rule_code,unique_tokens,reading_distribution,suspect_witness_only,unique_count,max_levenshtein_distance,min_levenshtein_similarity,max_damerau_distance,min_damerau_similarity,max_graphic_levenshtein_distance,max_graphic_damerau_distance,min_graphic_similarity,graphic_keys,witness_1_1,witness_2_2,witness_3_3,witness_4_4,witness_5_5
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,24,139,5,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,accent+final_zx_s+historic_s_before_consonant,soustenez | soûtenez,"soustenez=[1,5] | soûtenez=[2,3,4]",,2,2,0.778,2,0.778,0,0,1.000,soutenes,soustenez,soûtenez,soûtenez,soûtenez,soustenez
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,25,145,2,substantive,visible,no,visible:do_not_hide,low_similarity_or_real_rewriting,substantive_default,"faut,~il~faut~courir | faut~courir,~Olympe,","faut,~il~faut~courir=[1,2,3,5] | faut~courir,~Olympe,=[4]",,2,15,0.250,15,0.250,12,12,0.250,fautcourirolimpe | fautilfautcourir,"faut,~il~faut~courir","faut,~il~faut~courir","faut,~il~faut~courir","faut~courir,~Olympe,","faut,~il~faut~courir"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,25,145,3,minor_graphic_safe,hide_safe,yes,masquable:rule_based,accent_only,accent,apres | aprés,"apres=[1,2,5] | aprés=[3,4]",,2,1,0.800,1,0.800,0,0,1.000,apres,apres,apres,aprés,aprés,apres
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,27,157,2,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,u_v+y_i,voici | voicy,"voici=[3] | voicy=[1,2,4,5]",,2,1,0.800,1,0.800,0,0,1.000,uoici,voicy,voicy,voici,voicy,voicy
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,27,157,4,substantive,visible,no,visible:do_not_hide,low_similarity_or_real_rewriting,substantive_default,"Olympe, | helas~!","Olympe,=[1,2,3,5] | helas~!=[4]",,2,7,0.000,7,0.000,6,6,0.000,helas | olimpe,"Olympe,","Olympe,","Olympe,",helas~!,"Olympe,"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,27,157,7,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,i_j,iour | jour,"iour=[1,5] | jour=[2,3,4]",,2,1,0.750,1,0.750,0,0,1.000,iour,iour,jour,jour,jour,iour
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,27,157,8,minor_graphic_safe,hide_safe,yes,masquable:rule_based,accent_only,accent,detestable | détestable,"detestable=[2,3,4] | détestable=[1,5]",,2,1,0.900,1,0.900,0,0,1.000,detestable,détestable,detestable,detestable,detestable,détestable
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,28,163,7,minor_punctuation,hide_safe,yes,masquable:rule_based,punctuation_only,punctuation_only,"miserable, | miserable.","miserable,=[1,5] | miserable.=[2,3,4]",,2,1,0.900,1,0.900,0,0,1.000,miserable,"miserable,",miserable.,miserable.,miserable.,"miserable,"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,29,169,1,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,y_i,Ni | Ny,"Ni=[2,3,4] | Ny=[1,5]",,2,1,0.500,1,0.500,0,0,1.000,ni,Ny,Ni,Ni,Ni,Ny
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,29,169,3,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,y_i,ni | ny,"ni=[2,3,4] | ny=[1,5]",,2,1,0.500,1,0.500,0,0,1.000,ni,ny,ni,ni,ni,ny
